    PID TTY          TIME CMD
   1671 ?        00:00:00 systemd
   1672 ?        00:00:00 (sd-pam)
   1685 ?        00:00:00 dbus-broker-lau
   1687 ?        00:00:01 dbus-broker
   1689 ?        00:00:33 pipewire
   1691 ?        00:00:01 wireplumber
   1693 ?        00:00:00 pipewire
   1694 ?        00:01:03 pipewire-pulse
   1695 ?        00:00:00 gnome-keyring-d
   1838 ?        00:00:00 gcr-ssh-agent
   1857 ?        00:00:00 gvfsd
   1869 ?        00:00:00 at-spi-bus-laun
   1884 ?        00:00:00 gvfsd-fuse
   1895 ?        00:00:00 python3
   1932 ?        00:01:06 jetbrains-toolb
   2060 ?        00:00:00 applet.py
   2117 ?        00:00:00 dconf-service
   2209 ?        00:00:04 xdg-desktop-por
   2250 ?        00:00:00 xdg-document-po
   2288 ?        00:00:00 flatpak-session
   2295 ?        00:00:00 xdg-permission-
   2316 ?        00:00:00 dbus-broker-lau
   2325 ?        00:00:00 dbus-broker
   2328 ?        00:00:00 p11-kit-server
   2619 ?        00:00:00 xdg-desktop-por
   2652 ?        00:00:00 gvfs-udisks2-vo
   2662 ?        00:00:00 cosmic-applet-s
   2758 ?        00:00:00 gvfs-afc-volume
   2786 ?        00:00:00 gvfs-gphoto2-vo
   2835 ?        00:00:00 gvfs-goa-volume
   2911 ?        00:00:00 gvfs-mtp-volume
   2935 ?        00:00:00 at-spi2-registr
   2986 ?        00:00:12 xdg-desktop-por
   4380 ?        00:00:10 jetbrainsd
   4510 ?        00:00:00 pop-system-upda
   4678 ?        00:04:05 chrome
   4683 ?        00:00:00 cat
   4684 ?        00:00:00 cat
   4686 ?        00:00:00 chrome_crashpad
   4688 ?        00:00:00 chrome_crashpad
   4696 ?        00:00:00 chrome
   4697 ?        00:00:00 chrome
   4699 ?        00:00:00 chrome
   4727 ?        00:06:14 chrome
   4730 ?        00:01:00 chrome
   4741 ?        00:00:00 chrome
   4822 ?        00:00:03 chrome
   4984 ?        00:13:21 chrome
   5058 ?        00:01:56 chrome
   5660 ?        00:00:00 chrome
   5901 ?        00:00:01 cosmic-term
   6177 ?        00:00:39 code
   6181 ?        00:00:00 code
   6182 ?        00:00:00 code
   6184 ?        00:00:00 code
   6201 ?        00:00:00 chrome_crashpad
   6220 ?        00:01:02 code
   6225 ?        00:00:03 code
   6250 ?        00:03:52 code
   6491 ?        00:00:02 code
   6512 ?        00:00:41 code
   6584 ?        00:00:00 dconf
   6625 ?        00:00:06 code
   7231 ?        00:00:01 code
   8026 ?        00:00:02 code
   8041 ?        00:01:10 code
   8294 ?        00:00:01 code
   8295 ?        00:00:00 code
   9803 ?        00:00:09 chrome
   9812 ?        00:00:00 chrome
   9989 ?        00:00:00 chrome
  10674 ?        00:00:34 chrome
  16779 ?        00:00:02 code
  18550 ?        00:00:00 chrome
  18571 ?        00:00:06 chrome
  18591 ?        00:00:01 chrome
  18692 ?        00:00:07 chrome
  18793 ?        00:00:00 chrome
  26127 ?        00:00:00 chrome
  26170 ?        00:00:16 chrome
  26191 ?        00:00:00 chrome
  26204 ?        00:00:00 chrome
  26331 ?        00:00:03 chrome
  26340 ?        00:02:11 chrome
  26353 ?        00:00:00 chrome
  26412 ?        00:00:09 chrome
  28362 ?        00:00:03 chrome
  28624 ?        00:00:00 chrome
  29288 ?        00:00:00 sh
  29289 ?        00:00:00 bash
  29292 ?        00:00:00 ps
